tag,run_dir,ckpt_epoch,ckpt_val_loss,val_total,val_data,val_phys,val_ou,val_bc,val_sr,val_spike_rate,val_val_T_tracking_corr,val_val_T_intra_corr,val_val_v0_pred_mean,val_val_v0_intra_std,val_val_T_pred_mean,val_val_T_intra_std,val_val_s0_pred_mean,val_val_s0_intra_std,val_val_a_pred_mean,val_val_a_intra_std,val_val_b_pred_mean,val_val_b_intra_std,rank_effective,cond_number,sv_norm_1,sv_norm_2,sv_norm_3,sv_norm_4,sv_norm_5,cfg_cf_hidden_size,cfg_cf_rank,cfg_cf_max_delay,cfg_cf_bit_shift,cfg_lambda_T_aux,cfg_lambda_sr,cfg_scenario_mix,cfg_optimizer,cfg_epochs
R25_C2_sr_high,results/Prodigy_Study/Ablation_R25/C_spike_rate/R25_C2_sr_high,10,0.20489866084399375,0.1985839261732837,0.18587572091912968,0.037799524544599526,0.007416596945791327,0.0002840634593746564,0.0016546720674204215,0.14442783142340945,0.17154526710510254,0.01699887029826641,40.86895421210756,2.0166949487112937,1.1771180572661948,0.07018922172248998,3.908731702160328,0.2449435895665529,0.3897903526717044,0.05162623475003551,1.0996078021348792,0.1710679124485939,2,2446.9516250054025,1.0,0.015920542757054717,0.0012871705713287753,0.0005273297997055462,0.00040867174887357734,32,8,6,3,0.0,5.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_C3_sr_very_high,results/Prodigy_Study/Ablation_R25/C_spike_rate/R25_C3_sr_very_high,9,0.20751309814922353,0.2014807144061048,0.17784524455349496,0.03558280960250487,0.011529592794683227,0.00033417735893050165,0.0009583265724915269,0.14227441722091208,0.31646355986595154,0.015028605237603188,44.420458874803906,0.365660677027413,1.119898351266029,0.08422443948369077,4.013013322302636,0.21121386079949903,0.3805807077504219,0.04252941420371768,1.3437735638085833,0.1934706107812359,3,193.2365880301516,1.0,0.19136173663233538,0.07565518137405981,0.007556819942883739,0.005175003399687255,32,8,6,3,0.0,20.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_D1_small,results/Prodigy_Study/Ablation_R25/D_capacity/R25_D1_small,10,0.1780522140139278,0.1723487584039252,0.16633497677901957,0.03050174102424941,0.012731186074620865,0.0005179372918102571,0.0036182196503084033,0.09383772775293031,0.3276146352291107,0.01816173829138279,38.63239339057436,1.6764588710416028,1.150147148269288,0.09215194591261605,4.281216300548391,0.1387223882509019,0.36179394988303487,0.03025329862239619,1.4228453357168969,0.19145698892943402,1,5193.035474086687,1.0,0.0022513642383032496,0.001092337087897476,0.0002728827266754183,0.00019256560156194054,16,4,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_D2_mid,results/Prodigy_Study/Ablation_R25/D_capacity/R25_D2_mid,10,0.19147454642076442,0.1839669135577501,0.17120708061501066,0.03270332267671387,0.02231382756949739,0.0016668177840899183,0.013413982386601733,0.03452996222520287,0.4269767999649048,0.015917308628559113,40.7892227375761,1.5622746640855962,1.2634430743278342,0.10241431952949534,2.207177646616672,0.172067939284,0.39630712267566237,0.049054696058888986,1.5725362795464537,0.19212150878887227,2,5312.030654452434,1.0,0.01225695527173654,0.0011992540147574304,0.0005896568761993737,0.00018825192568529717,64,16,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_D3_large,results/Prodigy_Study/Ablation_R25/D_capacity/R25_D3_large,1,0.3992593454078157,0.4016025943007875,0.3828760053407639,0.15806697954998372,0.00980469000097265,3.11443398677233e-05,0.004797021774178806,0.08082176281258147,0.04675213620066643,0.006254544947296381,28.109838211790045,10.43740239041917,0.5830013124232597,0.05596079623841859,1.2185571390263579,0.19287832933378982,0.315518302169252,0.01959641751408468,0.5024871610580607,0.007036199655285987,1,774649.3277033761,1.0,0.0004697301995826052,5.706290829256239e-05,6.17401514920162e-06,1.2909066905986057e-06,128,32,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_E1_short,results/Prodigy_Study/Ablation_R25/E_duration/R25_E1_short,5,0.18920217769497888,0.18428152898683192,0.17347935775413792,0.032989918428938836,0.010817688619817032,0.0007517893317250863,0.012421011293128609,0.03925840532843103,0.32371997833251953,0.014552098698914051,38.928636794394635,1.3647473643117762,1.269152471676786,0.07630409502444115,2.318537039325592,0.29324978415636305,0.399705764144025,0.04787486843566086,1.4949976408735235,0.16928326247378866,2,6904.227917630801,1.0,0.015225233259874937,0.0026820915164425074,0.0006377812912936706,0.0001448387874691066,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,5
R25_E2_long,results/Prodigy_Study/Ablation_R25/E_duration/R25_E2_long,19,0.178371868413338,0.17476730869012944,0.16612630539593545,0.03034743707022689,0.01063137363265962,0.00039606942020679496,0.009357243627706107,0.054587174593371916,0.2738148868083954,0.011915165930986404,39.193450572642874,1.9752323674236207,1.1695715388719072,0.08839791214608765,3.9278574452755297,0.19665360071032525,0.3603775680382201,0.03381639922135849,1.2141439071361055,0.14854529987465828,2,2608.2018060466953,1.0,0.0132280507585106,0.0030793415632116954,0.0008060486675010958,0.000383405915018409,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,20
R25_E3_very_long,results/Prodigy_Study/Ablation_R25/E_duration/R25_E3_very_long,2,0.22998408014152913,0.2162044617803173,0.204576327009721,0.04804830298699597,0.005525857290659258,0.00040636731336529436,0.012281289239949051,0.03980510317264719,0.12086671590805054,0.012645208276808262,37.06116866050883,1.2405700347525008,1.2145192439251757,0.054787921838145306,1.7724889986058499,0.215854813364592,0.43859264682582083,0.05680875203440937,1.3118098986909745,0.12217041671751662,1,1980.534665388146,1.0,0.0063384984898164735,0.0019301151329354476,0.001057502017893584,0.000504914161552441,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,30
R26_F0_baseline_replica,results/Prodigy_Study/Fusion_R26/R26_F0_baseline_replica,10,0.19537745784730354,0.1914550641036414,0.18001999012491804,0.03540742471120618,0.014941388939289337,0.000526127889863402,0.013242268013431037,0.03543994282471373,0.38075658679008484,0.019923588261008263,31.35623575778718,2.92921149603864,1.062932109262081,0.08507677456958497,3.753414316380278,0.23682937777026536,0.40709064441158416,0.043484898195779255,1.3657193012694095,0.13321519349800778,1,7787.106489569648,1.0,0.003152961044347671,0.0015815351541610743,0.00035063499491659275,0.00012841740399202693,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R26_F1_TRIPLE_win,results/Prodigy_Study/Fusion_R26/R26_F1_TRIPLE_win,9,0.19278728139606563,0.186502083065979,0.17589130232784342,0.034241253121240815,0.009618608214139462,0.00040964766854726124,0.014542680833132026,0.029540330528261813,0.3230244815349579,-0.008836808614432812,35.724978994815906,2.217674307683681,1.294106458095794,0.07530002113669476,1.333547866724907,0.12883557792396305,0.39023228734731674,0.043571059386174074,1.2683129088675722,0.1513118846143814,1,33094.85443748235,1.0,0.002763163051004465,0.0004131321141214772,0.00021254454177923785,3.021617762027159e-05,32,8,18,3,0.1,0.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R26_F2_A4_B1,results/Prodigy_Study/Fusion_R26/R26_F2_A4_B1,10,0.18656925952180903,0.18162709442859,0.16866448763361636,0.031368193818513856,0.006837160673309514,0.0005833858099914865,0.007611162794575571,0.06441249457643704,0.4063360095024109,0.02155800350010395,39.87948343601633,1.306576678172705,1.2660971886300025,0.061423964223804625,1.1120634605275823,0.044210702247120086,0.3856647322152523,0.03760134190552561,1.2396235570628593,0.15548623190756808,1,7152.85326871251,1.0,0.0021526418705029456,0.00039076470316031067,0.00019547142948383295,0.0001398043497374855,32,8,18,3,0.1,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R26_F3_B1_C1,results/Prodigy_Study/Fusion_R26/R26_F3_B1_C1,2,0.23628953761084281,0.22733683297608762,0.21289141515785076,0.04843096162608646,0.005992634789126509,0.0004518647290127619,0.01217315824296167,0.04027039426913921,0.13595882058143616,0.012487631291151047,34.7624177324011,1.9733861161673323,1.0430142318314695,0.05747015716785446,1.4498685883714797,0.13648462093415412,0.42441233818201307,0.04484127531387903,1.749822461224617,0.08928471201277793,1,9148.367594871681,1.0,0.0005851139882311734,0.0002895598362330715,0.00016287711693728572,0.00010930911877224655,32,8,6,3,0.1,0.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R26_F4_A4_C1,results/Prodigy_Study/Fusion_R26/R26_F4_A4_C1,10,0.18072390952642928,0.17561944336333174,0.1712106270913748,0.03246713073755753,0.017951322922562348,0.0002645370014420223,0.014902045514355314,0.02810439964300616,0.3195815682411194,0.0057353549636900425,40.80017077669184,1.5796230155182012,1.1480049443371751,0.09670403881117384,4.025517661520776,0.23794195778231989,0.3759746007779811,0.04180798338622597,1.2909506575224248,0.17005696817439922,2,2063.270516130995,1.0,0.02150995265744206,0.0023541613553443304,0.0012111765420961564,0.0004846674210588637,32,8,18,3,0.0,0.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R26_F5_TRIPLE_short,results/Prodigy_Study/Fusion_R26/R26_F5_TRIPLE_short,5,0.2053423070923445,0.1991147841624123,0.18813372593610844,0.038931196931987364,0.010073824129265515,0.00110575072707291,0.006561211819334471,0.07040295759810412,0.23610195517539978,0.0088002048432827,38.446994943821686,1.305563074873483,1.199628602951131,0.07355388707699294,1.284764750206724,0.06360458939068733,0.4114626810905781,0.04369884863634534,1.2406426471598604,0.12595711624685754,1,24467.33545959647,1.0,0.0016350788283532782,0.0005085124137084395,0.00014471187431476623,4.087081740679631e-05,32,8,18,3,0.1,0.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,5
