idx,scenario_type,is_cut_in,gap_rmse_m,gap_max_err_m,pos_cum_err_m,jerk_max_pred,jerk_p95_pred,ttc_min_pred_s,accel_rmse_masked,accel_rmse_unmasked,param_rmse_v0,param_mean_v0,param_rmse_T,param_mean_T,param_rmse_s0,param_mean_s0,param_rmse_a,param_mean_a,param_rmse_b,param_mean_b,spike_rate_avg,spike_rate_p95,cut_in_detected
15,truck,False,219.11563477709512,489.1949462890625,489.1949462890625,4.503453731536865,2.173733949661255,0.0,0.20614423280203234,0.2065123289435958,10.695250013823008,32.7229118347168,1.5571809447640317,0.5032463073730469,1.9955308244095282,4.994729995727539,0.19998473362458627,0.30001527070999146,0.4999962354353254,0.5000037550926208,0.02533482201397419,0.03125,False
16,urban,False,95.65715827111356,227.82611083984375,227.82611083984375,7.175745487213135,3.7779130935668945,0.0,0.17095434188709177,0.17432117580789805,14.08525002083628,29.1707706451416,0.3203243353939874,0.6060515642166138,2.791382777479106,4.781223297119141,1.197953317091954,0.30205732583999634,1.4998947643346452,0.5001053214073181,0.013330357149243355,0.01875000074505806,False
17,urban,False,205.8418969797402,405.32977294921875,405.32977294921875,13.201480865478516,4.5718092918396,0.0,0.9611478731421524,0.9618640877701439,13.91802804128953,27.300920486450195,0.3161892450517075,0.6987568140029907,2.621863311271961,4.576653003692627,1.0230174569036452,0.5217421054840088,1.236082172664288,0.9010763168334961,0.00837053544819355,0.01875000074505806,False
18,highway,False,324.0727854881321,681.3861083984375,681.3861083984375,0.5131208896636963,0.37365278601646423,0.0,0.36812713763295296,0.36800828212104586,4.64390856596163,39.898193359375,0.9021192745278626,0.5000015497207642,2.4999995286132677,4.999999523162842,0.7396621095282693,0.2999999523162842,1.0,0.5,0.05417856574058533,0.06875000149011612,False
19,highway,False,182.62021278507837,392.3341064453125,392.3341064453125,0.7145856022834778,0.25246018171310425,0.0,0.22354573539042447,0.2239471899697266,2.9225469790410847,36.639102935791016,0.4614753172491956,0.5000450611114502,2.4999131187020422,4.999913692474365,0.6761043374034418,0.30000004172325134,1.0,0.5,0.04063839465379715,0.05624999850988388,False
20,highway,False,154.545275106887,344.34765625,344.34765625,0.529935359954834,0.41276341676712036,0.0,0.24261663602204842,0.24147405547480852,8.171744592661941,39.47561264038086,0.5258451428716252,0.5000004172325134,2.499999575615456,4.999999523162842,0.7796686287437167,0.29999998211860657,1.0,0.5,0.05185267701745033,0.0625,False
21,urban,False,29.083394782214516,89.3690185546875,89.3690185546875,7.13665771484375,3.137960910797119,0.0,0.2011221108453942,0.20862311926117222,13.152017360832788,29.057634353637695,0.5864621911582096,0.6063023209571838,2.755323350815621,4.738246917724609,1.1945444708047153,0.3055304288864136,1.4996856523177282,0.5003151297569275,0.012616069987416267,0.02187500149011612,False
22,urban,False,91.59260946251038,139.74017333984375,138.808837890625,6.085201263427734,3.027493476867676,0.0,0.2906477778665315,0.2930195057926159,15.22830924672496,29.217880249023438,0.5325273469044862,0.619417130947113,2.7734604444610977,4.754889488220215,1.1912184936993677,0.30912140011787415,1.4990853562117028,0.5009230971336365,0.012892856262624264,0.02187500149011612,False
23,highway,False,59.638356166987165,121.333984375,121.333984375,0.434027761220932,0.28018277883529663,0.0,0.13826319163794581,0.13716835231115299,3.9086491018064176,41.16862487792969,0.7063270514352614,0.5,2.4999999788829315,5.0,0.8167422413825989,0.2999999523162842,1.0,0.5,0.06124553084373474,0.07187499850988388,False
24,urban,True,86.3975300199044,168.9471435546875,168.9471435546875,7.775076389312744,5.054743766784668,0.0,0.24512889043454458,0.24559909984969036,14.6714477785675,28.568950653076172,0.373157680713005,0.7640107870101929,2.624661785746804,4.5973005294799805,1.1515716224730044,0.3529771864414215,1.4955003903873003,0.5045599341392517,0.008714286610484123,0.015625,False
