pos,nrmse_a_mem,nrmse_a_memless,nrmse_b_mem,nrmse_b_memless,mean_pred_a,mean_pred_b,spike_rate
41,0.3345101406067775,0.14376151843350804,0.17885136928899784,0.1494961085626389,0.5052778530120849,1.5302769088745116,0.16451302011807759
42,0.33377922297920626,0.1434947286284753,0.18127169880384375,0.14949161016085113,0.5081188694636027,1.5306381924947103,0.16227604468663534
43,0.3330004163682347,0.14401516112783452,0.18121413057933072,0.14917441058525366,0.5096767059961955,1.5244979985555014,0.1630416691303253
44,0.33508367415409507,0.1436251781771648,0.1808488608284599,0.1489833113351161,0.5053062788645426,1.5292402903238933,0.16369531790415445
45,0.3346838463592908,0.14312206633378585,0.17962632404459702,0.14922163513483439,0.505370766321818,1.5263737456003825,0.16414062897364298
46,0.33520809640288,0.14329332604931053,0.17890773811443286,0.1495183148132343,0.5055774068832397,1.5347321955362956,0.1630677088101705
47,0.33448095432258146,0.14284112956895514,0.17886220900224678,0.14960676347994734,0.5065975109736125,1.5298476123809814,0.1635338552792867
48,0.3356587783438138,0.14289246480541942,0.18085937781227499,0.14892454447915418,0.502884038289388,1.5338215732574463,0.16379426995913188
49,0.3344702307080063,0.14288095004859377,0.17648680558204816,0.14917213262989448,0.5076366678873698,1.5315350278218587,0.16265104214350382
50,0.3338720499126468,0.1427590994306544,0.18130783631547592,0.1494406516757087,0.5063850784301758,1.532645705540975,0.16403645714124043
51,0.3358423065834582,0.14290486539102412,0.18029068857340125,0.1479455336578672,0.5036283429463705,1.532666867574056,0.16426041841506958
52,0.33460072675185687,0.14309491095511012,0.18051241189368833,0.148050551235483,0.5054005765914917,1.5308504549662272,0.1628723963101705
53,0.3335006122636119,0.14322835829872338,0.18017470693983015,0.1486548637243704,0.5080952755610149,1.529395704269409,0.16333333452542623
54,0.3335204126471914,0.14321037855320382,0.17990367024868997,0.148874280285637,0.5079734834035238,1.5311766179402668,0.1628098956743876
55,0.3346997182821789,0.14343611065176054,0.17977017636307474,0.148836995925919,0.5055115524927775,1.5268513711293539,0.16387500325838725
56,0.3338557943609631,0.14309998005006086,0.18073296370534742,0.14831640793465967,0.5065400266647339,1.5292671585083009,0.16315625111262003
57,0.334129630085495,0.14342589243413897,0.17980690135334626,0.14953971719237286,0.5067253065109253,1.5319806798299154,0.1638125014305115
58,0.3332126887816878,0.1434862257020947,0.1803867029176991,0.1496780959581861,0.5087285757064819,1.5298075993855795,0.16340885519981385
59,0.3334504411382865,0.14269093956617998,0.17802905759197454,0.14828927053580943,0.5075055948893229,1.52911319732666,0.16305468757947286
60,0.33425083856710913,0.1418658684371921,0.17936283526669178,0.14877790184022152,0.5059867493311564,1.5335875097910563,0.1630468742052714
61,0.33524023704217826,0.14254453180363885,0.17999430011625597,0.14775569509770975,0.5039725462595622,1.5342913087209065,0.16476302107175192
62,0.33248608132902346,0.14263637443832006,0.17724144941258022,0.14860549104864174,0.5095862929026286,1.527504628499349,0.16303124904632568
63,0.33475112662593254,0.1426703422858748,0.1800279894013016,0.14933181915338656,0.5054739554723103,1.535660858154297,0.16332552234331768
64,0.33428737168027184,0.14255384968038934,0.17851002125253748,0.14864486216401834,0.5051673873265584,1.531391248703003,0.16392448544502258
65,0.33446310778753185,0.1424184615971138,0.1792037554063573,0.14904991965852107,0.5063373676935832,1.5318012460072836,0.16371875246365866
66,0.333839871002347,0.14308668923308474,0.17826861743263844,0.14872398640529888,0.507572348912557,1.5285755411783855,0.16327864646911622
67,0.3335108244987345,0.1427152970625437,0.17833128110946647,0.1488548453199623,0.5084735377629598,1.5328090858459473,0.16314583659172058
68,0.33340152769690323,0.14310368698370007,0.17819388359353552,0.14962894427912268,0.5082839854558309,1.529657122294108,0.16348698059717814
69,0.3335137022030495,0.14290544650517797,0.1789403900044568,0.14880963078594905,0.5085272105534872,1.5327362219492595,0.1626770834128062
70,0.3320526335959959,0.14323139126885728,0.1783773762990864,0.14889377975417667,0.5112670453389486,1.532556324005127,0.16271875262260438
71,0.3317579839461075,0.14349838259786094,0.1780356685319339,0.14899794144883205,0.511308134396871,1.5328652254740398,0.1626536496480306
72,0.3326612492299099,0.14409880922264987,0.17801694677882243,0.148786705574616,0.5112184429168701,1.5318444283803303,0.16301822940508526
73,0.33278470517461745,0.1439591211235074,0.17705045662660993,0.14922846162359554,0.5102817169825236,1.5289604727427164,0.16271614909172058
74,0.3337664524049238,0.144274200214514,0.17830893227793854,0.149787224114354,0.5085581064224243,1.5293735599517821,0.16318490107854208
75,0.3323202872343325,0.14462682950614886,0.17796080471363046,0.14988755483169533,0.5123900127410889,1.5318159357706707,0.1626562503973643
76,0.33149691103027584,0.14400433292011916,0.17762656843766758,0.1490846179518021,0.5132202784220378,1.5337665367126465,0.16250781496365865
77,0.3327627994079821,0.14394258828325754,0.17837666665403298,0.14930756966269843,0.5119467353820801,1.526667906443278,0.16249479174613954
78,0.3318982681375237,0.14362054763640478,0.17699390525885147,0.14940919662896532,0.5135678688685099,1.533158769607544,0.16242968797683716
79,0.33126562005995497,0.143989281336668,0.17777650384976335,0.14880648803956797,0.5144343535105388,1.524219398498535,0.1612135394414266
80,0.3338199164247589,0.14341101442883802,0.17798330299416953,0.1491224514662733,0.5084169165293375,1.530337142944336,0.16367708762486777
81,0.332581714073025,0.1433328613779665,0.17646007670592573,0.1488655860459062,0.5113719924290975,1.5312979062398275,0.16264583786328635
82,0.3329815382673912,0.14283218522964755,0.1778419551576696,0.14847935265235535,0.5111446126302084,1.531959031422933,0.16237760504086812
83,0.33227056499563445,0.14313290378350663,0.17836061263076228,0.14844398521845958,0.5124069786071778,1.5324970626831054,0.1623854184150696
84,0.3322785937750052,0.14321283949213806,0.17832807776767096,0.14840850032820063,0.5126175022125244,1.530921277999878,0.16199479540189107
85,0.3334506898140042,0.1429876826449976,0.17756924778345534,0.14936877409278257,0.5103972673416137,1.529599329630534,0.16321875294049581
86,0.33250284730423296,0.142889500340887,0.17758676172554416,0.1489069310133026,0.5110671186447143,1.5322739346822103,0.1626380177338918
87,0.3335460986647595,0.1431584535021467,0.17825407025512868,0.14873482816455946,0.5089244286219279,1.5302970123291015,0.16290624856948852
88,0.3335342092506664,0.14352145054795387,0.17731737654941546,0.1491789895123174,0.5100177748998006,1.5345513820648193,0.1624609390894572
89,0.3339665674560174,0.1430566394521723,0.17669077792667476,0.14880220998247484,0.5089899476369222,1.528883279164632,0.1620520834128062
90,0.33314025180178186,0.1432281678492707,0.17704952243330074,0.14846442530521337,0.5117523161570231,1.5303732172648112,0.16219271024068196
91,0.33235382469122937,0.14319944749469465,0.17849125771079924,0.14864153757105592,0.5127975225448609,1.5266280778249104,0.16159374912579855
92,0.333343777610702,0.14300788746648518,0.1758627335735949,0.1478837348204824,0.5100069713592529,1.5291596094767252,0.16272916475931803
93,0.33444475460829715,0.1433348750175754,0.1763584425607438,0.14742392868231485,0.5082159519195557,1.5291385428110758,0.16336197892824808
94,0.3327162894664578,0.14347516487857997,0.1759972477538762,0.14754174994001576,0.5113842741648356,1.5296172841389974,0.1621875007947286
95,0.33348573695494216,0.14317355429595569,0.17610909007878636,0.14692037327952417,0.50907386302948,1.5313527234395345,0.16208594044049582
96,0.33314514365792847,0.14355311592255118,0.17729355120376367,0.1469562047391959,0.5090116119384765,1.5347106997172038,0.16285937706629436
97,0.33397394335283404,0.14313181610329745,0.1756799972417677,0.1481318132896503,0.5078063201904297,1.5315028826395671,0.16239323178927104
98,0.33332676132309424,0.14333707735875906,0.17779642829153897,0.14705409327584912,0.5080705547332763,1.5304782358805338,0.1626953117052714
99,0.33412762014553504,0.14318021568110315,0.1760404956786205,0.14714556432068665,0.507591962814331,1.5278330548604329,0.1625572939713796
