tag,scenario,status,n_ep,val_total_best,val_total_last,val_data_best,val_phys_at_best,val_ou_at_best,val_sr_at_best,best_ep,spike_rate_avg,spike_rate_last,grad_norm_avg,optimizer,lr,variant_id,gn_explosion_pct,lr_eff_max,lr_eff_end
R24F_full_lr1.0_V02,full,OK,10,0.2281301670727577,0.3225534643898619,0.2145962945007263,0.0520349521551558,0.0077351331822276,0.0125990694913854,8,0.05308031479808241,0.0463431263738807,433972241.35749185,prodigy,1.0,V02,0.2,0.0271490279256928,0.0271490279256928
R24F_full_lr1.0_V03,full,OK,10,0.2324620241972994,0.2324620241972994,0.2202525636220866,0.0540489080396698,0.0054456299762836,0.0095521106676971,10,0.06626467618972379,0.0532201847279484,176758245.575598,prodigy,1.0,V03,1.0,0.0067670558804131,0.0067670558804131
R24F_full_lr1.0_V04,full,OK,10,0.2941804853604829,0.2941804853604829,0.2818859976498371,0.0894947357901788,0.0137678424188708,0.0046399768084,10,0.06330789950022352,0.0832371587092255,4.645521938428283,prodigy,1.0,V04,0.0,0.0004955711546381,0.0004955711546381
R24F_full_lr1.0_V05,full,OK,10,0.2764554336429276,0.3156362619805843,0.2638897511394734,0.08366510805555,0.0102657818512872,0.0073681948136815,5,0.06609776366224628,0.0665239366365874,3.423445165217501e+16,prodigy,1.0,V05,84.1,0.0446399576724727,0.0446399576724727
R24F_full_lr1.0_V06,full,OK,10,0.2569041219639017,0.2933044925015023,0.2457603714726072,0.0668779561107859,0.0112947667503055,0.0070993692844491,9,0.06433732192467972,0.042703645472276,2.3883080172985798,prodigy,1.0,V06,0.0,0.0228044936449698,0.0228044936449698
R24F_full_lr1.0_V07,full,OK,10,0.2252413239330053,0.2825598043805741,0.2122761903608098,0.0514355485495972,0.0112859670350209,0.0143249215399648,6,0.04009483663236441,0.0365559455562145,2970559378264254.5,prodigy,1.0,V07,1.5,0.0251939047708708,0.0251939047708708
R24F_full_lr1.0_V08,full,OK,10,0.2223623335520003,0.2267408526324211,0.2093719981927821,0.04982781792654,0.0075614290507609,0.0135920964270592,9,0.04328122622373093,0.0390049253511143,10241988101.082237,prodigy,1.0,V08,0.1,0.0189879919685108,0.0004947421035469
R24F_full_lr1.0_V09,full,OK,10,0.2539295924708564,0.2539295924708564,0.2422433673067295,0.0654969491099225,0.014259984464127,0.0056190154653914,10,0.07159512777753327,0.0760147209734992,1.7262947326898577,prodigy,1.0,V09,0.0,0.0021800220053453,8.151312700697922e-05
R24F_full_lr1.0_V10,full,OK,10,0.2316306525484678,0.5977318195745032,0.2181393693181428,0.0545954490105245,0.0105245342054602,0.0147406657355183,6,0.07636462665024266,0.1392380959810094,2.289118258135764e+16,prodigy,1.0,V10,56.00000000000001,0.0705061715961636,0.0705061715961636
R24F_highway_adamw_lr1e-3,highway,OK,10,0.1855422940422245,0.1954032098279988,0.1804915087178666,0.034780584322784,0.0145670093120412,0.0016887537584555,8,0.10726131545181601,0.1141540557542379,1074726634.5024238,adamw,0.001,ADAMW_REF,0.1,,
R24F_highway_lr0.1_V01,highway,OK,10,0.2936210372346512,0.2936210372346512,0.2822238693528987,0.0820622451583597,0.0132565914425364,0.0050562267461692,10,0.07102581031343083,0.079419898701475,10.075849533706904,prodigy,0.1,V01,0.2,0.0002899785508806,0.0002899785508806
R24F_highway_lr0.1_V02,highway,OK,10,1.1752331464531574,1.1752331464531574,1.0475160579415077,1.2309776493843565,0.0273789139563574,0.0065007425418638,10,0.06962859394979917,0.0696468070307944,7.35029377424717,prodigy,0.1,V02,0.2,2.3887313423646804e-06,2.3887313423646804e-06
R24F_highway_lr0.1_V03,highway,OK,10,1.1765027510675978,1.1765715739828475,1.0485221065105277,1.233655381472187,0.0272478180283561,0.0065054213652942,6,0.06961784557578089,0.0696180086345114,7.911465448558332,prodigy,0.1,V03,0.2,1e-07,1e-07
R24F_highway_lr0.1_V04,highway,OK,10,1.1765027510675978,1.1765715739828475,1.0485221065105277,1.233655381472187,0.0272478180283561,0.0065054213652942,6,0.06961784557578089,0.0696180086345114,7.911465448558332,prodigy,0.1,V04,0.2,1e-07,1e-07
R24F_highway_lr0.1_V05,highway,OK,10,0.2936210372346512,0.2936210372346512,0.2822238693528987,0.0820622451583597,0.0132565914425364,0.0050562267461692,10,0.07102581031343083,0.079419898701475,10.075849533706904,prodigy,0.1,V05,0.2,0.0002899785508806,0.0002899785508806
R24F_highway_lr0.1_V06,highway,OK,10,0.3269255793792136,0.3269255793792136,0.3135139686154558,0.1010277254823991,0.0148363083680259,0.005134044709229,10,0.07094939743822556,0.0788695126018942,53.51650223866104,prodigy,0.1,V06,0.2,0.000250442091911,0.000250442091911
R24F_highway_lr0.1_V07,highway,OK,10,0.1953768022358417,0.1953768022358417,0.1896166396030086,0.0380897877163233,0.0151663779261264,0.0023857295650003,10,0.08287792372457838,0.1021234301176477,11527934555.527943,prodigy,0.1,V07,0.2,0.0004063215742987,0.0004063215742987
R24F_highway_lr0.1_V08,highway,OK,10,1.176444778417019,1.1764930707026036,1.0484879677917094,1.2334436645850222,0.0272350221218422,0.0065013803566429,7,0.06962785735884876,0.0696428277074022,7.2755602979064,prodigy,0.1,V08,0.2,3.031497389544982e-07,1.2359439098109021e-08
R24F_highway_lr0.1_V09,highway,OK,10,1.1765304510580732,1.1765304510580732,1.0485403929302033,1.2337521353459104,0.0272432776128358,0.0065053759038725,8,0.06961799623008733,0.06961807109257,8.048263215005399,prodigy,0.1,V09,0.2,1e-07,2.448149713500471e-09
R24F_highway_lr0.1_V10,highway,OK,10,0.1932612731260188,0.1953537766920759,0.1875300869900495,0.0374133241625423,0.0181598737538653,0.0021637216364553,8,0.08683824191622908,0.1087058870954082,199948517.44526988,prodigy,0.1,V10,0.3,0.0008200865860285,0.0008200865860285
R24F_highway_lr0.5_V01,highway,OK,10,0.1778592804169401,0.1844062467125502,0.1721139338977159,0.0321996106191518,0.0074636417941408,0.0043044057253629,9,0.08686865835668553,0.0800494628740434,1.0381907320916652,prodigy,0.5,V01,0.0,0.0058776586491979,0.0058776586491979
R24F_highway_lr0.5_V02,highway,OK,10,0.1750474390672876,0.1762026041904662,0.1688835325234748,0.0302705137316692,0.0157767611288247,0.0046960337860311,9,0.08788667899814054,0.0787443277683663,404.5396837885286,prodigy,0.5,V02,0.0,0.0049001891730856,0.0049001891730856
R24F_highway_lr0.5_V03,highway,OK,10,0.1832192644793936,0.1832192644793936,0.1782290007364242,0.0338002469420353,0.0192357499519006,0.0012969021429834,10,0.09349930611775906,0.1156442174886135,2.753383429210633,prodigy,0.5,V03,0.2,0.0010707477497298,0.0010707477497298
R24F_highway_lr0.5_V04,highway,OK,10,1.1751915863219728,1.1751915863219728,1.0474792252829734,1.2309386834026652,0.0273628845474028,0.0065006902243228,10,0.06963923335709464,0.0696471289117285,7.023644341051579,prodigy,0.5,V04,0.2,1.3169188291140325e-06,1.3169188291140325e-06
R24F_highway_lr0.5_V05,highway,OK,10,0.1772151545403485,0.1772151545403485,0.1687470444260125,0.0304750831465811,0.0055017072912999,0.0102910327494758,10,0.06820937279770346,0.0491641051472818,1.09786884745294e+16,prodigy,0.5,V05,0.1,0.0096192082837703,0.0096192082837703
R24F_highway_lr0.5_V06,highway,OK,10,0.1904818651444734,0.191334378568733,0.1849490231735275,0.0364406858471796,0.014626996755164,0.0023148489315335,9,0.08065685903693129,0.0915856552409364,9699939959090518.0,prodigy,0.5,V06,0.2,0.0090984061343593,0.0090984061343593
R24F_highway_lr0.5_V07,highway,OK,10,0.1725549017416036,0.1725549017416036,0.1667691508030638,0.0298336114996964,0.006293980107504,0.0049753826107839,10,0.08906122045393315,0.0802530871030498,778626031158.1138,prodigy,0.5,V07,0.1,0.007372540804817,0.007372540804817
R24F_highway_lr0.5_V08,highway,OK,10,0.1737811899882682,0.1737811899882682,0.1679054902509806,0.030058134324908,0.0176567957548305,0.0039740941583852,10,0.0916818712540763,0.0879090769176787,1.1506039403118193,prodigy,0.5,V08,0.0,0.0045423308581756,0.0001412942210118
R24F_highway_lr0.5_V09,highway,OK,10,0.237871309028978,0.237871309028978,0.2298644069344439,0.0558403934788038,0.0098272141247512,0.00386300549887,10,0.07899819541365856,0.0885846993707595,130942.93340901239,prodigy,0.5,V09,0.5,0.0002373702933515,1.0178022539601216e-05
R24F_highway_lr0.5_V10,highway,OK,10,0.1754657482688731,0.2278684188235313,0.1679410669318539,0.0297447650351541,0.0080922109723844,0.0082911888082967,6,0.10718572575678212,0.1486588602370404,18425295883207.43,prodigy,0.5,V10,0.1,0.0156567105223719,0.0156567105223719
R24F_highway_lr1.0_V01,highway,OK,10,0.1771535456497618,0.197092245194189,0.1700179726281698,0.0308271652345169,0.0084991043265116,0.0072558035558842,9,0.06241220800562739,0.0646620270736674,1510076389214.6082,prodigy,1.0,V01,5.4,0.0132119323452518,0.0132119323452518
R24F_highway_lr1.0_V02,highway,OK,10,0.1700453081346572,0.1700453081346572,0.1651904358270954,0.029541666290049,0.0089085545697982,0.0029105566494802,10,0.08837935067316947,0.0979239328744563,12.95141060979292,prodigy,1.0,V02,0.0,0.0077935627572518,0.0077935627572518
R24F_highway_lr1.0_V03,highway,OK,10,0.1750402011849144,0.176574170272401,0.1695762605584682,0.0307501057940634,0.0145895163171944,0.00331890835158,9,0.09480458943847007,0.0907390396249421,3.9538822165336462,prodigy,1.0,V03,0.0,0.0033195957558466,0.0033195957558466
R24F_highway_lr1.0_V04,highway,OK,10,0.2094802659876803,0.2094802659876803,0.2029200283453819,0.0436886246415211,0.0130298364872826,0.0030797678070697,10,0.07638667248823539,0.0953473222065479,8456259266829886.0,prodigy,1.0,V04,0.1,0.0004025014569895,0.0004025014569895
R24F_highway_lr1.0_V05,highway,OK,10,0.1830790415406227,0.2293187103214416,0.1758956469674693,0.0331032778349447,0.0089494153916677,0.0068511919643571,5,0.10813024954355137,0.0834712856944571,4403109152918714.5,prodigy,1.0,V05,2.4,0.0380191359705294,0.0380191359705294
R24F_highway_lr1.0_V06,highway,OK,10,0.1907838217200751,0.1907838217200751,0.1814755546919843,0.0353944114894863,0.0093818468244825,0.0105994675318373,10,0.07708945364116665,0.0472299087237804,290024435531072.1,prodigy,1.0,V06,0.1,0.0234481748293603,0.0234481748293603
R24F_highway_lr1.0_V07,highway,OK,10,0.1743209233626406,0.1743209233626406,0.1685172510036128,0.030732603089765,0.0056422449378395,0.0048966004836442,10,0.06631092602941896,0.0807531599668746,0.5123885542731732,prodigy,1.0,V07,0.0,0.0105093940423249,0.0105093940423249
R24F_highway_lr1.0_V08,highway,OK,10,0.168587011859772,0.168587011859772,0.1620298924836072,0.028122578636109,0.0088471263731294,0.0066050107533884,10,0.06732756921506304,0.0692529197623755,1.7338287613457068,prodigy,1.0,V08,0.0,0.0132119323452518,0.000323331886338
R24F_highway_lr1.0_V09,highway,OK,10,0.1840863124804294,0.1840863124804294,0.1791767165698903,0.0341895322681979,0.0174716858817462,0.0012341160112787,10,0.09768059594318898,0.1164900469890934,389349814858418.2,prodigy,1.0,V09,0.1,0.0018609911059927,6.95842537413365e-05
R24F_highway_lr1.0_V10,highway,OK,10,0.2247061612124138,0.2247061612124138,0.2186259731571091,0.0517853010208048,0.0113663970928718,0.0006666756527455,1,0.1739743288527143,0.1739743288527143,190961745395.9204,prodigy,1.0,V10,185.3,0.1043559856738515,0.1043559856738515
R24F_mixed_adamw_lr1e-3,mixed,OK,10,0.2299057749357629,0.2299057749357629,0.2190628877662598,0.0544670079066913,0.0144807730028603,0.0053345067609235,10,0.07817816082586314,0.0785525375382697,0.6887818557173013,adamw,0.001,ADAMW_REF,0.0,,
R24F_mixed_lr0.1_V01,mixed,OK,10,0.951754815242392,0.951754815242392,0.7660478981251412,0.66166811186741,0.0296102251084719,0.0084267834577947,10,0.05863257358841436,0.0585167996704261,25098.26227759725,prodigy,0.1,V01,0.1,0.0001001983329124,0.0001001983329124
R24F_mixed_lr0.1_V02,mixed,OK,10,1.1268572560016146,1.1268572560016146,0.8930297130916981,0.8910132384997733,0.0322557874321145,0.0084015117249788,10,0.05863442811916797,0.0586483455560308,26220.374774934655,prodigy,0.1,V02,0.1,1.3404240227816723e-06,1.3404240227816723e-06
R24F_mixed_lr0.1_V03,mixed,OK,10,1.1276980915919264,1.127703964234667,0.8937789658282665,0.8927710307167566,0.032191692940653,0.0084050258056835,4,0.058628859604768255,0.0586291460241092,26519.878724844457,prodigy,0.1,V03,0.1,1e-07,1e-07
R24F_mixed_lr0.1_V04,mixed,OK,10,1.1276980915919264,1.127703964234667,0.8937789658282665,0.8927710307167566,0.032191692940653,0.0084050258056835,4,0.058628859604768255,0.0586291460241092,26519.878724844457,prodigy,0.1,V04,0.1,1e-07,1e-07
R24F_mixed_lr0.1_V05,mixed,OK,10,0.951754815242392,0.951754815242392,0.7660478981251412,0.66166811186741,0.0296102251084719,0.0084267834577947,10,0.05863257358841436,0.0585167996704261,25098.26227759725,prodigy,0.1,V05,0.1,0.0001001983329124,0.0001001983329124
