study,tag,n_ep,val_best_ep,val_data@best,T_intra@best,Tintra_peak_ep,Tintra_PEAK,val_data@Tpeak,gn_max_overall
R26_v2,R26v2_F4_A4_C1,3,3,0.2233237112535441,0.0056984252296388,3,0.0056984252296388,0.2233237112535441,1.216883344085198e+18
R26_v2,R26v2_F5_TRIPLE_short,5,5,0.2140990236496671,0.0048135458491742,5,0.0048135458491742,0.2140990236496671,50410848838.311325
R28_v2,R28v2_A0_baseline_lr05,10,10,0.1805535644847662,0.0151893310248851,10,0.0151893310248851,0.1805535644847662,21.79016568561076
R28_v2,R28v2_A1_d0_1e-5,7,7,0.1947429820974456,0.0046342713758349,6,0.0053210956975817,0.1974944631628533,12899761897444.604
R28_v2,R28v2_B1_steps_300,3,2,0.1945616506594926,0.0138112464919686,3,0.0155828287824988,0.195503666739356,2.1842448903221376e+18
R28_v2,R28v2_C1_d0_steps_combo,2,1,0.2144257677124535,0.0005042124539613,2,0.0185635387897491,0.2118449781010759,5.05964354066368e+17
R28_v2,R28v2_D1_warm_restart,6,4,0.1715239319514404,0.0139467241242527,4,0.0139467241242527,0.1715239319514404,8.422347991700394e+18
R29_v2,R29v2_A1_init_shift,7,7,0.1913524726207586,0.007241069804877,5,0.0091641107574105,0.1978896386683621,535917335376759.1
R29_v2,R29v2_B1_tau3to1_lin,10,8,0.1769129782915115,0.0243145395070314,8,0.0243145395070314,0.1769129782915115,32125.43404019688
R29_v2,R29v2_B2_tau5to1_lin,10,7,0.1741771719002343,0.0235424228012561,8,0.0250641889870166,0.1804757867246232,9.347522989913598
R29_v2,R29v2_B3_tau10to1_lin,7,7,0.177298819368824,0.0232494603842496,6,0.0308214239776134,0.1814918427510147,7.329695710916768e+18
R29_v2,R29v2_B4_tau5to1_exp,5,5,0.1939527422110451,0.0255604404956102,5,0.0255604404956102,0.1939527422110451,1.6327634914917622e+19
R29_v2,R29v2_C1_init_tau5,7,4,0.2135805282939938,0.0071732569485902,2,0.0112489014863967,0.2159069775742419,8.140378872344031e+18
R29_v2,R29v2_C2_init_tau10,4,4,0.2112632139803881,0.009595600888133,1,0.0108766127377748,0.3868289896623885,1.116226347053698e+19
R29_v2,R29v2_C3_init_per_channel,10,9,0.1765289085501052,0.0378163233399391,10,0.040705170482397,0.1809070058008458,40.557128851485096
R29_v2,R29v2_D1_C1_epochs20,20,17,0.1670160999799028,0.0301322415471076,14,0.0537537075579166,0.1841450786772877,1.6074571555828765e+19
R29_v2,R29v2_D2_C2_epochs20,20,17,0.1699103095192224,0.0421419031918048,11,0.0503024980425834,0.1740312412024495,7.966863922907773e+16
R29_v2,R29v2_E0_baseline,10,10,0.1805535644847662,0.0151893310248851,10,0.0151893310248851,0.1805535644847662,21.79016568561076
R29_v2,R29v2_E1_no_po2,10,10,0.1759664408387022,0.0123964678496122,5,0.0137349497526884,0.1928897553539656,1518.7112375845386
R30,R30_A0_baseline,10,10,0.1805535644847662,0.0151893310248851,10,0.0151893310248851,0.1805535644847662,21.79016568561076
R30,R30_A1_v0_aux,8,7,0.2236391192183215,-0.0001866719831014,2,0.006366625893861,0.2606930539329001,1.7521761385851509e+19
R30,R30_A2_s0_aux,7,6,0.1820339600139476,0.0180720742791891,6,0.0180720742791891,0.1820339600139476,2.0234578559786496e+17
R30,R30_A3_a_aux,10,10,0.2021504623934309,0.0049370974302291,8,0.0089750327169895,0.201292086234118,21.7838769146228
R30,R30_A4_b_aux,7,6,0.1992262682897296,0.0056541068479418,5,0.0128209507092833,0.219469076141398,8.193271035420497e+18
R30,R30_B1_full_aux_lam01,10,10,0.2223943234124082,0.0027039451524615,3,0.0096039595082402,0.2315178914986392,30757.730109849115
R30,R30_B2_full_aux_lam05,3,3,0.2449848154916408,0.0008656650898046,2,0.0042997170239686,0.2969203907203801,88871577334.70999
R30,R30_C1_full_aux_plus_T,10,8,0.2367434244048088,0.0033595564309507,1,0.0068017519079148,0.3270108394641825,156.79741567713504
