tag,axis,n_ep,best_ep,val_total,val_data,T_tracking_corr,T_intra_corr,v0_pred_best,s0_pred_best,gn_max_preclip,lr,lambda_T_aux,study
R29v2_B4_tau5to1_exp,B_tau,5,5,0.2035253640819103,0.1939527422110451,0.312577337026596,0.0255604404956102,38.4186501401536,1.4716503563079428,1.6327634914917622e+19,0.5,0.0,R29 DecoderFix v2
R29v2_B1_tau3to1_lin,B_tau,10,8,0.1862361811973313,0.1769129782915115,0.3500612378120422,0.0243145395070314,39.36330358018267,1.567021408613692,32125.43404019688,0.5,0.0,R29 DecoderFix v2
R29v2_B2_tau5to1_lin,B_tau,10,7,0.1809173219222971,0.1741771719002343,0.3610486984252929,0.0235424228012561,41.30608718953234,2.330654396655712,9.347522989913598,0.5,0.0,R29 DecoderFix v2
R29v2_B3_tau10to1_lin,B_tau,7,7,0.1838607647198628,0.177298819368824,0.3417697548866272,0.0232494603842496,41.584357708058455,1.6160682091053495,7.329695710916768e+18,0.5,0.0,R29 DecoderFix v2
R29v2_E0_baseline,E_control,10,10,0.1887015574314492,0.1805535644847662,0.2556754350662231,0.0151893310248851,33.96583361321307,1.6321172219641664,21.79016568561076,0.5,0.0,R29 DecoderFix v2
R29v2_E1_no_po2,E_control,10,10,0.1853008219536314,0.1759664408387022,0.2791261374950409,0.0123964678496122,38.41245294124522,1.3919097476817193,1518.7112375845386,0.5,0.0,R29 DecoderFix v2
R29v2_C2_init_tau10,C_combo,4,4,0.2180221190160893,0.2112632139803881,0.1180468723177909,0.009595600888133,39.04336073043498,1.3413402679118704,1.116226347053698e+19,0.5,0.0,R29 DecoderFix v2
R29v2_A1_init_shift,A_init,7,7,0.2037738736005539,0.1913524726207586,0.1188083738088607,0.007241069804877,36.935144505602246,1.427568386209772,535917335376759.1,0.5,0.0,R29 DecoderFix v2
R29v2_C1_init_tau5,C_combo,7,4,0.2210084585314418,0.2135805282939938,0.1095711588859558,0.0071732569485902,39.71642514492603,1.6193850826709828,8.140378872344031e+18,0.5,0.0,R29 DecoderFix v2
R30_A2_s0_aux,A_isolated,7,6,0.2023035946916392,0.1820339600139476,0.2101698964834213,0.0180720742791891,39.32746879090654,2.553162597595377,2.0234578559786496e+17,0.5,0.0,R30 Identifiability
R30_A0_baseline,A_isolated,10,10,0.1887015574314492,0.1805535644847662,0.2556754350662231,0.0151893310248851,33.96583361321307,1.6321172219641664,21.79016568561076,0.5,0.0,R30 Identifiability
R30_A4_b_aux,A_isolated,7,6,0.2197815428309618,0.1992262682897296,0.2075943648815155,0.0056541068479418,38.35297014358196,1.244379538170835,8.193271035420497e+18,0.5,0.0,R30 Identifiability
R30_A3_a_aux,A_isolated,10,10,0.247313282630862,0.2021504623934309,0.3238394856452942,0.0049370974302291,30.885705673948248,1.6227813052370192,21.7838769146228,0.5,0.0,R30 Identifiability
R30_C1_full_aux_plus_T,C_full_plus_T,10,8,1.37833711917096,0.2367434244048088,0.1027935072779655,0.0033595564309507,24.23665244528588,2.641738128154836,156.79741567713504,0.5,0.1,R30 Identifiability
R30_B1_full_aux_lam01,B_full,10,10,1.1945222847639243,0.2223943234124082,0.093700423836708,0.0027039451524615,23.17239506193932,2.421040579359582,30757.730109849115,0.5,0.0,R30 Identifiability
R30_B2_full_aux_lam05,B_full,3,3,6.087764932754192,0.2449848154916408,-0.0295788086950778,0.0008656650898046,23.7834409044144,2.5185958096321595,88871577334.70999,0.5,0.0,R30 Identifiability
R30_A1_v0_aux,A_isolated,8,7,1.2484078293151044,0.2236391192183215,-0.0815760046243667,-0.0001866719831014,23.53454411790726,2.1418074724522045,1.7521761385851509e+19,0.5,0.0,R30 Identifiability
