key,sweep,arm,family,optimizer,scheduler,lr,spectral_lambda,spectral_target,rank,decode_on,seed,cache,common_val,budget_ep,ran_ep,aborted,has_diag,val_data_min,val_data_final3,nrmse_mean,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b,time_total_s,final_spectral_radius,final_spike_rate
BigSweep2/P2_lr2e3_t07_r8,BigSweep2,P2_lr2e3_t07_r8,AdamW_decodeON,adamw,cosine_no_restart,0.002,1.0,0.7,8,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2164,0.2169,0.222,0.22,0.254,0.113,0.243,0.28,3733.1,0.699,0.167
BigSweep2/P2_lr2e3_t06_r8,BigSweep2,P2_lr2e3_t06_r8,AdamW_decodeON,adamw,cosine_no_restart,0.002,1.0,0.6,8,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2167,0.218,0.212,0.209,0.232,0.115,0.227,0.276,3706.0,0.625,0.177
BigSweep3/A_lr7e3_t05_r16_noDEC,BigSweep3,A_lr7e3_t05_r16_noDEC,AdamW_decodeOFF,adamw,cosine_no_restart,0.007,1.0,0.5,16,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2168,0.2215,0.305,0.304,0.267,0.349,0.26,0.344,3797.2,0.523,0.23
BigSweep2/P1_lr3e3_t05,BigSweep2,P1_lr3e3_t05,AdamW_decodeOFF,adamw,cosine_no_restart,0.003,1.0,0.5,,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.217,0.2321,0.301,0.332,0.228,0.362,0.288,0.296,3761.0,0.543,0.218
BigSweep2/P1_lr2e3_t07,BigSweep2,P1_lr2e3_t07,AdamW_decodeOFF,adamw,cosine_no_restart,0.002,1.0,0.7,,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2171,0.2257,0.32,0.327,0.249,0.472,0.258,0.295,3734.3,0.73,0.18
BigSweep2/P2_lr3e3_t07_r16,BigSweep2,P2_lr3e3_t07_r16,AdamW_decodeON,adamw,cosine_no_restart,0.003,1.0,0.7,16,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2174,0.2211,0.215,0.207,0.239,0.121,0.231,0.276,3742.9,0.7,0.181
BigSweep2/P2_lr2e3_t05_r16,BigSweep2,P2_lr2e3_t05_r16,AdamW_decodeON,adamw,cosine_no_restart,0.002,1.0,0.5,16,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2176,0.2218,0.2,0.186,0.196,0.162,0.223,0.234,3735.7,0.509,0.199
BigSweep2/P2_lr2e3_t06_r16,BigSweep2,P2_lr2e3_t06_r16,AdamW_decodeON,adamw,cosine_no_restart,0.002,1.0,0.6,16,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2177,0.2289,0.2,0.186,0.187,0.159,0.261,0.204,3739.8,0.622,0.193
BigSweep2/P2_lr2e3_t05_r8,BigSweep2,P2_lr2e3_t05_r8,AdamW_decodeON,adamw,cosine_no_restart,0.002,1.0,0.5,8,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2179,0.2206,0.214,0.204,0.214,0.137,0.249,0.268,3716.5,0.518,0.191
BigSweep/ADAM_lr2e3_t08,BigSweep,ADAM_lr2e3_t08,AdamW_decodeOFF,adamw,cosine_no_restart,0.002,1.0,0.8,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2186,0.2204,0.292,0.299,0.292,0.328,0.249,0.293,3742.0,0.821,0.194
