arm,scenario,n,data,phys,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b
P1_lr3e3_t06,truck,26,0.1534,0.0243,0.361,0.111,0.473,0.041,0.346
P1_lr3e3_t06,urban,47,0.2599,0.0698,0.391,0.108,0.144,0.307,0.229
P1_lr3e3_t07,freeflow,50,0.1967,0.04,0.345,0.567,0.368,0.327,0.537
P1_lr3e3_t07,highway,56,0.1704,0.0306,0.329,0.15,0.357,0.311,0.239
P1_lr3e3_t07,launch,102,0.2625,0.0718,0.471,0.345,0.315,0.213,0.351
P1_lr3e3_t07,mixed,19,0.2334,0.0573,0.638,0.13,0.285,0.205,0.174
P1_lr3e3_t07,truck,26,0.1215,0.0152,0.599,0.13,0.453,0.033,0.406
P1_lr3e3_t07,urban,47,0.2612,0.0705,0.668,0.111,0.127,0.323,0.166
P1_lr5e3_t05,freeflow,50,0.168,0.0299,0.133,0.524,0.375,0.313,0.558
P1_lr5e3_t05,highway,56,0.1643,0.0285,0.187,0.123,0.375,0.293,0.253
P1_lr5e3_t05,launch,102,0.2453,0.0623,0.236,0.349,0.361,0.194,0.378
P1_lr5e3_t05,mixed,19,0.2282,0.0545,0.368,0.143,0.353,0.172,0.18
P1_lr5e3_t05,truck,26,0.1344,0.0186,0.384,0.12,0.5,0.049,0.391
P1_lr5e3_t05,urban,47,0.2527,0.0665,0.337,0.105,0.211,0.291,0.21
P1_lr5e3_t06,freeflow,50,0.1959,0.0393,0.346,0.507,0.375,0.347,0.5
P1_lr5e3_t06,highway,56,0.1611,0.0275,0.337,0.123,0.373,0.325,0.186
P1_lr5e3_t06,launch,102,0.2469,0.0631,0.469,0.347,0.339,0.205,0.35
P1_lr5e3_t06,mixed,19,0.2337,0.0578,0.636,0.137,0.332,0.197,0.165
P1_lr5e3_t06,truck,26,0.1269,0.0167,0.621,0.111,0.492,0.043,0.356
P1_lr5e3_t06,urban,47,0.251,0.0647,0.579,0.103,0.181,0.304,0.194
P1_lr5e3_t07,freeflow,50,0.1827,0.0352,0.154,0.521,0.375,0.3,0.503
P1_lr5e3_t07,highway,56,0.1705,0.0306,0.222,0.141,0.375,0.275,0.232
P1_lr5e3_t07,launch,102,0.2501,0.0649,0.247,0.343,0.352,0.202,0.324
P1_lr5e3_t07,mixed,19,0.2356,0.0578,0.459,0.139,0.34,0.191,0.156
P1_lr5e3_t07,truck,26,0.1298,0.0176,0.452,0.126,0.498,0.045,0.384
P1_lr5e3_t07,urban,47,0.2516,0.0657,0.484,0.11,0.18,0.326,0.161
